DATE,GDPC1,CoreCPI,TB3M,TB1Y,TB2Y,TB3Y,TB5Y,TB10Y,TB30Y,M2Real,UNRATE,WTIOIL,PPIACO,DSPI,PAYEMS,INDPRO,PCEPILFE,PCEPDG,HouseSales
1/1/1947,2034.45,,,,,,,,,,,1.62,24.83333333,,43566.33333,13.80593333,,,
4/1/1947,2029.024,,,,,,,,,,,1.87,25.03333333,,43649,13.81493333,,,
7/1/1947,2024.834,,,,,,,,,,,1.87,25.66666667,,43968.66667,13.84196667,,,
10/1/1947,2056.508,,,,,,,,,,,2.003333333,26.76666667,,44492,14.2202,,,
1/1/1948,2087.442,,,,,,,,,,3.733333333,2.57,27.36666667,,44631.66667,14.3643,,,
4/1/1948,2121.899,,,,,,,,,,3.666666667,2.57,27.53333333,,44736.33333,14.51736667,,,
7/1/1948,2134.056,,,,,,,,,,3.766666667,2.57,28.1,,45210.66667,14.65246667,,,
10/1/1948,2136.44,,,,,,,,,,3.833333333,2.57,27.73333333,,45156.33333,14.4994,,,
1/1/1949,2107.001,,,,,,,,,,4.666666667,2.57,26.96666667,,44468.33333,14.03106667,,,
4/1/1949,2099.814,,,,,,,,,,5.866666667,2.57,26.26666667,,43986.33333,13.5898,,,
7/1/1949,2121.493,,,,,,,,,,6.7,2.57,26.03333333,,43645,13.6168,,,
10/1/1949,2103.688,,,,,,,,,,6.966666667,2.57,25.96666667,,43235.33333,13.5538,,,
1/1/1950,2186.365,,,,,,,,,,6.4,2.57,26.03333333,,43592.33333,14.26523333,,,
4/1/1950,2253.045,,,,,,,,,,5.566666667,2.57,26.36666667,,44727.66667,15.463,,,
7/1/1950,2340.112,,,,,,,,,,4.633333333,2.57,27.86666667,,46028,16.7058,,,
10/1/1950,2384.92,,,,,,,,,,4.233333333,2.57,29.1,,46781,16.99396667,,,
1/1/1951,2417.311,,,,,,,,,,3.5,2.57,30.76666667,,47579.33333,17.3362,,,
4/1/1951,2459.196,,,,,,,,,,3.1,2.57,30.66666667,,47959,17.39026667,,,
7/1/1951,2509.88,,,,,,,,,,3.166666667,2.57,30.16666667,,48009,16.97596667,,,
10/1/1951,2515.408,,,,,,,,,,3.366666667,2.57,30.1,,48155.66667,17.09306667,,,
1/1/1952,2542.286,,,,,,,,,,3.066666667,2.57,29.86666667,,48440.66667,17.48933333,,,
4/1/1952,2547.762,,,,,,,,,,2.966666667,2.57,29.56666667,,48514.66667,17.23716667,,,
7/1/1952,2566.153,,,,,,,,,,3.233333333,2.57,29.66666667,,48795.66667,17.7415,,,
10/1/1952,2650.431,,,,,,,,,,2.833333333,2.57,29.3,,49859.66667,19.0113,,,
1/1/1953,2699.699,,,,,,,,,,2.7,2.57,29.13333333,,50318.66667,19.38956667,,,
4/1/1953,2720.566,,,,,,,,,,2.566666667,2.653333333,29.03333333,,50481.33333,19.65973333,,,
7/1/1953,2705.258,,,,,,,,,,2.733333333,2.82,29.36666667,,50464.33333,19.67773333,,,
10/1/1953,2664.302,,,,,,,,,,3.7,2.82,29.16666667,,49950.33333,18.7501,,,
1/1/1954,2651.566,,,,,,,,,,5.266666667,2.82,29.33333333,,49336,18.15573333,,,
4/1/1954,2654.456,,,,,,,,,,5.8,2.82,29.33333333,,49013,18.0837,,,
7/1/1954,2684.434,,,,,,,,,,5.966666667,2.82,29.26666667,,48849,18.17376667,,,
10/1/1954,2736.96,,,,,,,,,,5.333333333,2.82,29.1,,49151,18.67806667,,,
1/1/1955,2815.134,,,,,,,,,,4.733333333,2.82,29.23333333,,49700.66667,19.68673333,,,
4/1/1955,2860.942,,,,,,,,,,4.4,2.82,29.23333333,,50516.66667,20.5423,,,
7/1/1955,2899.578,,,,,,,,,,4.1,2.82,29.43333333,,51121.33333,20.85753333,,,
10/1/1955,2916.985,,,,,,,,,,4.233333333,2.82,29.53333333,,51608.66667,21.35283333,,,
1/1/1956,2905.656,,,,,,,,,,4.033333333,2.82,29.8,,52145.33333,21.43386667,,,
4/1/1956,2929.666,,,,,,,,,,4.2,2.82,30.23333333,,52489,21.3438,,,
7/1/1956,2927.034,,,,,,,,,,4.133333333,2.82,30.4,,52396.66667,21.22673333,,,
10/1/1956,2975.209,,,,,,,,,,4.133333333,2.82,30.7,,52842.33333,22.0012,,,
1/1/1957,2994.259,,,,,,,,,,3.933333333,2.986666667,31,,53046.66667,22.20836667,,,
4/1/1957,2987.699,,,,,,,,,,4.1,3.07,31.06666667,,53151.66667,21.9292,,,
7/1/1957,3016.979,,,,,,,,,,4.233333333,3.07,31.33333333,,53061.66667,22.01026667,,,
